Uniq Id,Product Name,Category,Model Number,About Product,Technical Details,Shipping Weight,Product Dimensions
34e61951485765f20be86ade52af2bc1,Swagtron Swagboard Outlaw T6 Off-Road Hoverboard,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Scooters & Equipment | Scooters",83688-2 T6 BLACK,"NOTE: Kindly refer to the user manual provided as a PDF manual in the product description section | FOR ALL RIDERS – The T6 can handle up to 420 lbs, making it the best choice for riders of all shapes and sizes! Read instructions fully before use | ALL TERRAIN - Roll over bumps and inclines up to 30° as you travel through mud, grass, rain, and even gravel. | 12 MILE RANGE - The T6 off road hover board has a 12-mile range, and the capability to reach powered speeds of up to 12 MPH. | 10"" RUGGED TIRES - Dual rugged, 10"" tubeless tires designed for all terrain exploration. 300 Watt Dual Motor. Charger voltage Input 100V-240V; 50-60Hz / Output 42Vdc, 2A | ROCK WHILE YOU RIDE –The self-balancing hover scooter uses Bluetooth to play music directly from your phone. | Maximum Weight Limit - 420 lbs (191kg). Minimum Weight Limit - 44lbs (20kg) | Safety Standards: UL2272",,38.1 pounds,10.5 x 25.7 x 10 inches  32 pounds
1a22f23576bfdfe5ed6c887dc117aab6,"Remedia Publications REM536B Money Activity Book, Grade: 3 to 4, 8.5"" Wide, 11"" Length, 0.4"" Height",Toys & Games | Learning & Education | Counting & Math Toys,REM536B,,"Activities include identifying coins, Learning their value, counting coins, matching coins to prices, different ways of showing an amount, and simple addition of money. Also includes making change and word problems. This book is ideal for introductory-level teaching or enrichment! grades 3-4.",4.8 ounces,11 x 8.5 x 0.4 inches  1.6 ounces
b95b9d4227228c61d0a91110f25daf79,"Paris Street Sign Childrens Name Room Sign | Indoor/Outdoor |  18"" Wide",Home & Kitchen | Home Décor | Kids' Room Décor | Wall Décor,SYNCHKG025252,"Sign Size: 4"" X 18"" | Perfect Gift - Good for decorating a work space or hanging in a den, this novelty sign makes a great gift for anyone | Quick & Easy Mount - Comes with pre-cut mounting holes for hanging | Indoor Outdoor Use - Printed with ultra durable inks for a scratch resistant finish that will last for years | Proudly Made In The USA - Buy with confidence from an American owned and operated company! SignMission Items are produced in our state-of-the-art facility in West Palm Beach, Florida","strong Get a fun novelty street sign for your home and office and show off your sense of humor.strong Looking for a fun, hilarious street sign to hang on your cubicle or in your “man cave”? If so, strongem SignMissionem strong  has all the cute, funny, hilarious, and even work-related novelty signs you’re looking for!p strong Something for Everyonestrong We’ve got a wide range of American-made signs just like this sign that will tickle your funny bone, make others smile, or even show off your snarky attitude.p strongem Made To Lastem strong Made from a special plastic desgined to hold up to a beating, This sign can bend with out breaking and will never chip or crack, the colorful lettering will last a lifetime indoors and up to 4 years in the sun for outdoor use.p strong Product Details:strongulli Pre-Drilled Mounting Holeslili Indoor and Outdoor Uselili Rust and Fade Resista",3.2 ounces,18 x 0.1 x 4 inches  1.76 ounces
2a5c0bb0f1393bd8ee142238262f778b,"Constructive Playthings JC-55 12"" X 9"" Dressing Frames Set of 4 Featuring Zip, Snap, Lace and Button for Ages 3 Years and Up",Toys & Games | Learning & Education,JC-55,,"Children can learn fine motor and sensory skills while they learn to dress themselves with these dressing boards! these four dressing boards are made of durable, poly cotton and are mounted on wood frames.",1.6 ounces,4.7 x 11.5 x 8.8 inches  1.6 ounces
3d33ab2be8c8366c2e156ad715e4cc3d,"Burton & Burton 260Q Neon Green Pencil Balloons, Pack Of 100",Toys & Games | Party Supplies | Balloons,76411,Latex | Made in USA | Enter Your Model Number | Above To Make Sure This Fits | Great For Parties And Other Special Occasions | Fill With Air | Qualatex - The Very Best Balloons,Color:Neon Green When you're looking for a brand that stands out from the rest look no further. With a passion for quality and creativity you can rest easy knowing the quality we manufacture.,0.3 ounces,60 x 2 x 2 inches  0.32 ounces
68219117ff29c0bd0d59b1e390711647,"Segway Ninebot ES1 Gen2 Electric Kick Scooter, Lightweight and Foldable, Upgraded Motor Power, Dark Grey (New Version)","Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Scooters & Equipment | Scooters",ES1 Gen2,"Safe & smooth riding: equipped with Large, lightweight, and shock absorbent solid tires provide an ideal balance of speed, precision, and comfort for long-distance riding; anti breaking system, cruise control ensures braking safety | Upgraded version: with a upgraded more powerful motor of 300W, Max 700W, Segway ES1 Gen2 can reach to 15. 5 mph (25Km/H), travel up to 15. 5 miles (25 km) and accommodate a max load of 220 lbs. (100 kg). | Lightweight & foldable: with a total weight of 24. 9 lbs. (11. 3 kg) and the one click folding system, the Segway ES1 Gen2 kick scooter can be carried with one hand, making it the perfect lightweight travel companion. | Genuine ES1 Gen2: If you received with old ES1 label, please rest assure that we upgraded all of ES1 inventory with new 300-watt motor and control board to make the maximum speed of 15. 5mph. We sincerely apologize for the confusing label on the product. | Every scooter has undergone rigorous testing before leaving the factory, to ensure that there is no problem with the quality. A Few Test data may be displayed on the app.","The newly upgraded Segway ES1 Gen2 has a high capacity battery, offering speeds up to 15.5 MPH. Travel to school, work, or wherever you need to go with the adjustable cruise control, durable and maintenance-free air-less wheels, and a combination of electronic and locking mechanical brakes. Every scooter has undergone rigorous testing before leaving the factory to ensure the highest quality. Weighing in at less than 25 pounds, the ES1 is one of the lightest e-scooters on the market. On the sidewalk or on the road, the Segway ES1 Gen2 e-scooter is the perfect balance of precision, comfort, and speed.",31.3 pounds,40 x 17 x 45 inches  30 pounds
dbd86be64e58faa2c3a05fb916818a7f,"Anagram International A11957001 Sesame Street 1st Birthday Foil Balloon, 18"", Multicolor",Toys & Games | Party Supplies | Balloons,A11957001,Great for parties and other special occasions | Fill with helium | Foil balloon - Excellent alternative for those with allergies to latex | Self-sealing | Easy instructions,"Size:18""  |  Color:Multicolor Sesame street 1st birthday, 18"", foil balloon Featuring Elmo, big bird & cookie muster with ""happy 1st birthday"" Message. This colorful balloon is sure to please all fans of Sesame Street.",0.3 ounces,18 x 18 inches  0.96 ounces
104413c59fbe630a67af9bd1399a755c,Razor Jr. Lil' E Scooter,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Scooters & Equipment | Scooters",20159699,"Electric fun for the little ones | Go"" button throttle with ""soft start"" Technology (slowly builds to full speed), stops when button is released | Features speeds up to 2 mph (3 kmh/H, a dual rear wheel drive train, steel frame construction, large deck platform for stability, and foam grips | Rechargeable 6V sealed lead acid battery with a Run time of up to 40 minutes of continuous use | Recommended for ages 3 and up; supports riders up to 48 pounds","It's a revolution in fun for the little ones - an electric scooter built specifically for youngsters still mastering their balance and coordination. This Razor Jr. Lil' E provides the extra stability of three wheels and a simplified push-to-go, soft start throttle that keeps them in control as they explore the thrills of electric-powered fun.",11.2 pounds,14 x 26 x 10 inches  8.16 pounds
7ade4d8f20bbeabf74709df9efe65f1c,"Guardian Kids Bikes Original. 16/20/24 Inch, Multiple Colors for Boys/Girls. Safer Brake System for Kids. Lightweight Aluminum Construction. Easy Assembly. ASO SharkTank.",Sports & Outdoors | Outdoor Recreation | Cycling | Kids' Bikes & Accessories | Kids' Bikes,ONLINE-GB1-20-1-BR,"SAFER PATENTED SURESTOP BRAKE SYSTEM: prevent head-over-handlebar accidents and allow kids to stop faster. The award-winning brake system is why EVANTUBEHD calls GUARDIAN ""WORLD'S SAFEST KIDS BIKE"" | KIDS BIKE 20 INCH: boys bikes and girls bikes for heights 3'9'' to 4'5'' (approx ages 5-9). Rated as one of the BEST BIKES FOR KIDS by Two Wheeling Tots for 20 bikes. | LIGHTWEIGHT KIDS BIKE: youth bikes at only 20.2 lbs means easier handling for better control and safety. | INCLUDES: simple 1-speed, kid specific easy reach lever, kickstand, double wall rims, NO TRAINING WHEELS NEEDED (learn more at our website) | 99% ASSEMBLED: This kids bicycle ships 99% assembled with all the tools you need (<10 min setup for you!)",,30.9 pounds,53 x 8 x 29 inches  20.5 pounds
c6f0aa7694fc4cdfc5461740a4ec6d74,Rubie's Costume Company DC Comics Super Girl Pet Cape,Toys & Games | Party Supplies,580320 M,"Super Girl pet costume features red satiny cape with Kryptonian symbol for hope/Superman/Super Girl Coat of Arms and golden trim | IMPORTANT! PLEASE READ recent reviews and Q&A's before purchase to determine the best size for your pet; NOT ALL COSTUMES WILL FIT ALL PETS or breeds without adjustment | READ THE RUBIE’S PET SIZE CHART and WATCH THE SIZING INSTRUCTION VIDEO, do not select size based on breed; consider costume style and animal shape before ordering | Officially licensed DC Comics pet costume, items shipped and sold directly by Amazon are guaranteed to be authentic | Search for Rubie's DC Comics matching people costumes, like Superman, Batman, Wonder Woman, Supergirl, Batgirl, The Flash, Green Lantern, Robin, Joker and many more for great group costumes","Size:Medium Officially licensed DC Comics Super Girl pet costume features red satiny cape with Kryptonian symbol for hope/Superman/Super Girl Coat of Arms and golden trim. IMPORTANT! NOT ALL COSTUMES WILL FIT ALL PETS, consider costume style and animal size; READ THE RUBIE’S PET SIZE CHART and WATCH THE SIZING INSTRUCTION VIDEO, do not select size based on breed. Family-owned, family-focused, and based in the U.S.A. since 1950, Rubie’s is the world’s largest designer and manufacturer of costumes – of course they’d remember your four-legged best friend!",0.3 ounces,9.5 x 7 x 0.8 inches
90ae56a6d00123229d1a823b96fbfca2,Abilitations Integrations Monkey-Swing Vestibular Orientation,Toys & Games | Sports & Outdoor Play | Play Sets & Playground Equipment,30360,,"The Integrations Monkey-Swing, made from 3/4-inch 13-ply solid birch plywood and PVC piping, features a smooth-grip wooden bar; smooth-grip handles and tube-coated rope. The Monkey-Swing enables therapists and parents to work on grip strengthening (great for handwriting and other fine-motor skills), vestibular orientation and motor planning. Working load 150 lbs. (68kg). Abilitations Integrations.",1.8 pounds,20.4 x 4.4 x 4.2 inches
d185f6547e7ac50e0b104b9df8c0c6a1,S&S Worldwide 25-1 PK36 Balsa-Wood Top Gun Glider Model Plane (Pack of 36),Sports & Outdoors | Sports & Fitness | Accessories | Inflation Devices & Accessories,25-1 PK36,"ASSEMBLY IS QUICK & EASY: Only three pieces with no glue required, and instructions are conveniently printed on the packaging for each plane. | INEXPENSIVE PLAYTIME OPTION: Offers hours of fun without a hefty price tag. | PERFECT FOR PARTY/EVENT FAVORS: 36 planes per pack mean it’s perfect for Birthday Parties, Wedding Favors, Invites or Giveaways. | A BLAST TO DECORATE: Put a personal twist on each plane by decorating it to your liking with markers, paint, paint pens, glitter, washi tape and more… | MADE IN THE USA: Each plane is made of genuine balsa wood and measure 6” in length with an 8” wingspan.","Ready-to-fly genuine balsa wood model by Guillen. Nothing flies like balsa! 6""L. Wings measure 8""W. Made in the USA. Pack of 36.",8 ounces,9.5 x 8.5 x 2.2 inches  6.7 ounces
4c443cd3711e37f1e1c08560db371f6a,Rubies Costume Company Mermaid Dog Costume,Toys & Games | Party Supplies,580233 L,Dog costume with seashell Bra and mermaid tail. Metallic fish scale print with iridescent fin and shells,"Size:L Mermaid dog costume features iridescent seashell bra with metallic fish scale tail. Rubie's costume Company has been bringing costumes and accessories to the world since 1950. As the world's costume leader, We take seriously the mission to make dressing up fun! Mascots, rental quality costumes, masks, wigs, accessories, shoes and every significant licensed costume you would ever want to wear can be found under the rubie's brand. Rubie's brings you fun for every season: Halloween, Christmas, Mardi Gras, Easter and all in-between!",0.3 ounces,12.9 x 12.1 x 0.9 inches
43dcce6f745226a014f737a307ab0bbe,"Sax True Flow Colorburst Glaze, Carnivale, 1 Pint",Industrial & Scientific | Science Education,1430108,,Sax True Flow Colorburst Glaze is Semi-Transparent and is ideal for one-of-a-kind pieces since every application and every firing will produce different results. Creates multi-colored patterns as well as designs when fired. Create unique dramatic effects by combining other glazes of a similar firing range. Not dinnerware safe due to surface characteristics.,1.6 pounds,6.1 x 3 x 3 inches  1.55 pounds
17cf4ecdebb323f2250e5054d4b80c1e,"Dick Martin Sports MASP12 Parachute with 12 Handles, 12' Diameter Grade Kindergarten to 1, 4"" Height, 7.5"" Wide, 10.8"" Length",Toys & Games | Learning & Education,MASP12,,Multi-colored rip-stop Nylon Material for extra durability. All panels are double stitched for added strength. Reinforced mesh center allows ample air flow & prevents balls from rolling through the middle. Double-stitched handles that won't tear or come loose. Large Nylon carry bag with drawstring closure. 12' Diameter. 12 handles.,1.8 pounds,10.8 x 7.5 x 4 inches  0.8 ounces
76ea38a572da05ea7c1039763d6739bc,Guided Reading Fiction Questions Cards,Toys & Games | Learning & Education | Flash Cards,84878,"Cards include questions for use before, during, and after reading | Use cards with any text to encourage questioning, predicting, and summarizing | Teacher Guide features individual, small-group and whole-class ideas | Cards measure 3 1/2"" x 5 1/2""","Cards include questions for use before, during, and after reading. Use cards with any text to encourage questioning, predicting, and summarizing. Teacher Guide features individual, small-group and whole-class ideas. 3 1/2"" x 5 1/2"".",5.6 ounces,3.8 x 0.8 x 6.5 inches  5.6 ounces
bc02418972ca63735669ba51d4238ed6,CrayolaÂ Washable Tempera Paint - Set of 9 Pints,Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Paints,BS-3115-99,,"Creamy consistency for drip-free painting. Washable from skin and most clothing. Freeze-thaw stable and non-separating. 16 oz. Plastic bottles. Set of 9. Colors are black, Brown, red, Purple, Blue, yellow, orange, green, and white.",4 pounds,1 x 1 x 1 inches  1 pounds
